dirjeux (44);;;;;;;;
Nom du jeu;Éditeur;Type;Notice;Zone plan;Zone bénévole;À animer;Reçu;Vidéo
Suburbia;Lucky Duck Games;Tout public;https://y8t6p8a4.map2.ssl.hwcdn.net/downloads/October2022/b1a733197659b629a8a9e8f6f4018897.pdf;Antigone-Sud 1;Antigone-Sud 1a;;non;https://www.youtube.com/watch?v=sBTI6r3zBmU
Block and Key;Lucky Duck Games;Tout public;https://y8t6p8a4.map2.ssl.hwcdn.net/downloads/September2022/950c1f4d09dbf538409b7cae383f04cf.pdf;Antigone-Sud 1;Antigone-Sud 1a;;non;https://www.youtube.com/watch?v=_hp9aa29I_E
Le Roi des 12;Lucky Duck Games;Tout public;;Antigone-Sud 1;Antigone-Sud 1a;;non;
Earth;Lucky Duck Games;Tout public;https://www.dropbox.com/s/jsern0ie8ycr980/Earth%20Rulebook_VF_LD.pdf?dl=0;Antigone-Sud 1;Antigone-Sud 1a;;non;https://www.youtube.com/watch?v=t-KrI08-sEg
Bagarre;Benjamin Roucayrol;Ambiance;https://benjaminroucayrol.com/bagarre;Antigone-Sud 1;Antigone-Sud 1c;oui;oui;https://www.youtube.com/watch?v=kW4j4b2iHAE&t=1s
Randognon;Benjamin Roucayrol;Tout public;https://benjaminroucayrol.com/download/909/;Antigone-Sud 1;Antigone-Sud 1c;oui;oui;https://www.youtube.com/watch?v=RppC93AYHXI
Zoo-en-Boîte;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/zoo-en-bo%C3%AEte;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=wkAk8_k64U4
Safari Photo;Smart Games;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/safari-photo;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Chats Tournent en Rond;Smart Games;Tout public;https://www.smartgames.eu/fr/jeux-pour-1-joueur/chats-tournent-en-rond;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Parc'Ours en Forêt;Smart Games;Tout public;https://www.smartgames.eu/fr/jeux-pour-1-joueur/parc%E2%80%99ours-en-for%C3%AAt;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;https://www.youtube.com/watch?v=j2TMTbC92Ws
La Cité d'Or;Smart Games;Tout public;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ Circuit;Smart Games;Tout public;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ Six Pro;Smart Games;Tout public;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ Love;Smart Games;Tout public;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
IQ Stixx;Smart Games;Tout public;;Esplanade-Droite 3;Esplanade-Droite 3;oui;non;
Lex Go! Harry Potter;Winning Moves;Tout public;;Antigone-Sud 5;Antigone-Sud 5;oui;non;
Lex Go! Disney;Winning Moves;Tout public;;Antigone-Sud 5;Antigone-Sud 5;oui;non;
Top Trumps Battle Mat Harry Potter;Winning Moves;Tout public;;Antigone-Sud 5;Antigone-Sud 5;oui;non;
Top Trumps Battle Mat Miraculous;Winning Moves;Tout public;https://regle.escaleajeux.fr/toptr_rg.pdf;Antigone-Sud 5;Antigone-Sud 5;oui;non;https://www.1jour-1jeu.com/jeu-de-cartes/2019-top-trumps-miraculous/videos
Le Jeu des Cochons;Winning Moves;Tout public;;Antigone-Sud 5;Antigone-Sud 5;oui;non;
Narcopolis;Open World Editions;Tout public;;Antigone-Sud 3;Antigone-Sud 3;;non;
Ethérium;Les éditions du Crapaud Céleste;Experts;;Antigone-Sud 3;Antigone-Sud 3;oui;non;
Trio;Cocktail Games;Tout public;https://www.cocktailgames.com/wp-content/uploads/2022/11/trio_regles_BD.pdf;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;https://www.cocktailgames.com/jeu/trio/
Happy City - Grozilla;Cocktail Games;Tout public;;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;
Super Mega Lucky Box;Cocktail Games;Tout public;https://www.cocktailgames.com/wp-content/uploads/2022/02/Regles_SMLB_0122_BD.pdf;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;https://www.cocktailgames.com/regle-video-super-mega-lucky-box/
Maudit Mot Dit;Cocktail Games;Tout public;;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;
Mimtoo Pop Culture;Cocktail Games;Tout public;;Esplanade-Droite 1;Esplanade-Droite 1;oui;non;
Inflexibles : Afrique du Nord;Nut’s Publishing ;Experts;;Esplanade-Gauche 3;Esplanade-Gauche 3a;;non;
Not Alone;Geek Attitude Games;Initiés;;Antigone-Sud 4;Antigone-Sud 4c;;non;
Sub Terra 2;Nut’s Publishing ;Tout public;https://www.dropbox.com/s/l8kp30u9zlaegmp/ST2_Inferno-Regles-PRINT-V6.pdf?dl=0;Esplanade-Gauche 3;Esplanade-Gauche 3a;;non;https://www.youtube.com/watch?v=wl_KrybhdnI
Voyageurs du Tigre du Sud;Pixie Games;Tout public;;Antigone-Sud 4;Antigone-Sud 4d;;non;
Rahuaha;Grrre Games;Tout public;;Esplanade-Centre 5;Esplanade-Centre 5;;non;
